pH,Temperature,Turbidity,TDS,DO,BOD,COD,status
6.8,15.2,2.1,120,8.5,2.1,4.3,Good
7.2,18.5,5.3,185,7.8,3.5,6.8,Good
7.5,22.1,8.7,250,6.9,5.2,9.1,Moderate
6.5,12.8,1.5,95,9.2,1.3,3.2,Good
8.1,25.4,12.3,320,5.8,7.9,14.2,Poor
7.8,20.3,6.5,210,7.2,4.1,7.5,Moderate
6.3,14.7,3.2,150,8.1,2.8,5.6,Good
7.1,19.2,4.8,195,7.5,3.8,7.1,Moderate
8.3,28.6,15.2,380,4.9,9.5,17.8,Poor
6.9,16.4,2.8,135,8.3,2.5,5.1,Good
7.4,21.7,7.9,230,6.7,5.8,10.3,Moderate
6.7,13.5,1.9,110,8.9,1.7,3.9,Good
7.9,23.8,9.5,270,6.3,6.7,12.1,Poor
7.0,17.8,3.9,170,7.9,3.1,6.2,Good
8.0,24.9,11.7,310,5.9,7.5,13.5,Poor
6.4,14.1,2.5,125,8.6,2.3,4.7,Good
7.3,20.8,6.1,220,7.1,4.3,7.9,Moderate
8.2,27.1,13.8,350,5.3,8.7,15.9,Poor
6.6,13.9,2.3,118,8.7,2.0,4.5,Good
7.6,22.9,8.3,240,6.5,5.9,10.8,Moderate
6.2,11.5,1.2,85,9.5,0.9,2.5,Good
7.7,23.5,9.1,260,6.4,6.3,11.4,Poor
8.4,30.2,16.8,410,4.2,10.8,20.1,Poor
6.1,10.8,0.9,75,9.8,0.7,2.1,Good
7.2,19.8,5.1,200,7.6,3.7,7.0,Moderate
6.9,16.8,3.0,140,8.2,2.6,5.3,Good
7.5,21.5,7.5,235,6.8,5.5,9.9,Moderate
6.8,15.8,2.6,130,8.4,2.4,4.9,Good
8.1,26.3,12.9,330,5.6,8.3,14.9,Poor
7.0,18.2,4.2,180,7.7,3.3,6.5,Good
7.4,20.5,6.8,215,7.0,4.6,8.3,Moderate
6.5,12.5,1.7,100,9.1,1.5,3.5,Good
7.8,22.3,7.3,225,6.9,5.0,9.3,Moderate
7.1,19.5,4.6,190,7.4,3.6,6.9,Moderate
8.3,29.1,14.6,370,5.0,9.2,16.9,Poor
6.7,14.5,2.4,128,8.5,2.2,4.6,Good
7.3,21.2,6.3,228,7.1,4.5,8.1,Moderate
6.4,13.2,2.0,115,8.8,1.8,4.1,Good
7.9,24.2,10.1,290,6.1,7.1,12.8,Poor
7.2,18.8,4.9,195,7.6,3.7,7.0,Moderate
6.9,17.2,3.3,155,8.0,2.9,5.8,Good
7.6,22.5,7.8,238,6.7,5.7,10.5,Moderate
6.3,12.2,1.6,98,9.3,1.4,3.4,Good
8.0,25.7,11.2,305,5.8,7.8,14.0,Poor
7.1,19.1,4.4,185,7.5,3.5,6.7,Moderate
7.4,20.2,6.0,208,7.2,4.2,7.7,Moderate
6.6,14.8,2.7,132,8.3,2.5,5.0,Good
7.7,23.2,8.9,255,6.5,6.1,11.1,Poor
7.0,17.5,3.7,165,7.8,3.0,6.0,Good
8.2,27.8,13.2,340,5.2,8.5,15.5,Poor
6.8,16.1,2.9,138,8.2,2.7,5.4,Good
7.5,21.8,7.1,232,6.9,5.3,9.7,Moderate
6.5,13.8,2.2,122,8.6,2.1,4.4,Good
7.8,23.0,8.5,248,6.7,5.8,10.6,Moderate
7.2,20.0,5.5,203,7.4,4.0,7.4,Moderate
8.1,26.8,12.5,325,5.5,8.1,14.6,Poor
6.9,17.0,3.5,160,7.9,3.0,6.1,Good
7.3,20.3,5.9,212,7.3,4.4,8.0,Moderate
6.7,15.5,2.8,135,8.1,2.6,5.2,Good
7.9,24.5,9.8,280,6.2,6.9,12.5,Poor
7.0,18.5,4.0,175,7.7,3.2,6.4,Good
8.3,28.3,14.0,360,5.1,9.0,16.4,Poor
6.4,14.3,2.6,127,8.4,2.3,4.8,Good
7.4,21.0,6.6,222,7.0,4.7,8.5,Moderate
6.6,14.0,2.4,125,8.5,2.2,4.7,Good
7.6,22.0,7.4,230,6.9,5.1,9.5,Moderate
7.1,19.3,4.5,188,7.5,3.6,6.8,Moderate
8.0,25.2,11.0,300,5.9,7.6,13.7,Poor
6.8,16.5,3.1,145,8.0,2.8,5.7,Good
7.5,21.3,7.0,228,7.0,5.0,9.2,Moderate
6.3,13.5,2.1,117,8.7,1.9,4.2,Good
7.7,23.8,8.2,245,6.7,5.9,10.7,Moderate
7.2,20.5,5.7,207,7.3,4.2,7.6,Moderate
8.2,27.5,12.8,335,5.3,8.3,15.2,Poor
6.9,17.8,3.8,168,7.8,3.1,6.3,Good
7.3,20.8,5.8,215,7.2,4.5,8.2,Moderate
6.7,15.2,2.9,137,8.2,2.6,5.3,Good
7.8,23.5,8.7,253,6.6,6.0,10.9,Moderate
7.0,18.8,4.3,182,7.6,3.4,6.6,Good
8.1,26.0,11.8,315,5.7,8.0,14.4,Poor
6.5,14.6,2.7,130,8.3,2.4,4.9,Good
